Simulation No.,Radius,Depth (cm),Soil Permittivity,Root Permittivity,Antenna,Folder Name
164,0.03,10,21,15,GSSI 1500,radius_0.03_depth_10_soil_21_root_15_antenna_GSSI1500
165,0.03,10,21,25,GSSI 1500,radius_0.03_depth_10_soil_21_root_25_antenna_GSSI1500
166,0.03,10,17,7,GSSI 1500,radius_0.03_depth_10_soil_17_root_7_antenna_GSSI1500
167,0.03,10,17,15,GSSI 1500,radius_0.03_depth_10_soil_17_root_15_antenna_GSSI1500
168,0.03,10,17,25,GSSI 1500,radius_0.03_depth_10_soil_17_root_25_antenna_GSSI1500
169,0.03,10,13,7,GSSI 1500,radius_0.03_depth_10_soil_13_root_7_antenna_GSSI1500
170,0.03,10,13,15,GSSI 1500,radius_0.03_depth_10_soil_13_root_15_antenna_GSSI1500
171,0.03,10,13,25,GSSI 1500,radius_0.03_depth_10_soil_13_root_25_antenna_GSSI1500
172,0.03,20,21,7,GSSI 1500,radius_0.03_depth_20_soil_21_root_7_antenna_GSSI1500
173,0.03,20,21,15,GSSI 1500,radius_0.03_depth_20_soil_21_root_15_antenna_GSSI1500
174,0.03,20,21,25,GSSI 1500,radius_0.03_depth_20_soil_21_root_25_antenna_GSSI1500
175,0.03,20,17,7,GSSI 1500,radius_0.03_depth_20_soil_17_root_7_antenna_GSSI1500
176,0.03,20,17,15,GSSI 1500,radius_0.03_depth_20_soil_17_root_15_antenna_GSSI1500
177,0.03,20,17,25,GSSI 1500,radius_0.03_depth_20_soil_17_root_25_antenna_GSSI1500
178,0.03,20,13,7,GSSI 1500,radius_0.03_depth_20_soil_13_root_7_antenna_GSSI1500
179,0.03,20,13,15,GSSI 1500,radius_0.03_depth_20_soil_13_root_15_antenna_GSSI1500
180,0.03,20,13,25,GSSI 1500,radius_0.03_depth_20_soil_13_root_25_antenna_GSSI1500
181,0.03,30,21,7,GSSI 1500,radius_0.03_depth_30_soil_21_root_7_antenna_GSSI1500
182,0.03,30,21,15,GSSI 1500,radius_0.03_depth_30_soil_21_root_15_antenna_GSSI1500
183,0.03,30,21,25,GSSI 1500,radius_0.03_depth_30_soil_21_root_25_antenna_GSSI1500
184,0.03,30,17,7,GSSI 1500,radius_0.03_depth_30_soil_17_root_7_antenna_GSSI1500
185,0.03,30,17,15,GSSI 1500,radius_0.03_depth_30_soil_17_root_15_antenna_GSSI1500
186,0.03,30,17,25,GSSI 1500,radius_0.03_depth_30_soil_17_root_25_antenna_GSSI1500
187,0.03,30,13,7,GSSI 1500,radius_0.03_depth_30_soil_13_root_7_antenna_GSSI1500
188,0.03,30,13,15,GSSI 1500,radius_0.03_depth_30_soil_13_root_15_antenna_GSSI1500
189,0.03,30,13,25,GSSI 1500,radius_0.03_depth_30_soil_13_root_25_antenna_GSSI1500
